Provincia,Mes,Anio,Temperatura,Precipitacion,Humedad,Vel_vientos,cantidad_casos
CÓRDOBA,5,2019,13.571658986175107,28.657142857142894,79.59562211981567,9.27995391705069,2
CÓRDOBA,5,2020,13.719952210274768,0.0,60.66188769414576,10.53763440860215,333
CÓRDOBA,6,2018,8.629166666666668,4.014285714285702,67.96785714285714,10.258333333333333,0
CÓRDOBA,6,2019,11.290119047619042,10.55714285714284,74.96071428571429,11.146428571428572,0
CÓRDOBA,6,2020,10.100987654320985,0.16296296296296298,65.2567901234568,10.192592592592593,5
CÓRDOBA,7,2018,8.00299539170506,5.071428571428593,69.29377880184332,10.894009216589861,0
CÓRDOBA,7,2019,9.775115207373267,3.0000000000000004,68.66359447004608,10.438940092165899,0
CÓRDOBA,8,2018,11.104147465437787,3.6571428571428597,51.805299539170505,14.950460829493087,0
CÓRDOBA,8,2019,11.670506912442391,0.014285714285714254,56.45046082949309,12.971198156682028,0
CÓRDOBA,9,2018,17.634523809523813,34.185714285714106,61.75,12.910714285714286,0
CÓRDOBA,9,2019,14.734285714285694,8.699999999999982,50.89047619047619,12.915476190476191,0
CÓRDOBA,10,2018,17.935023041474647,72.71428571428585,62.08179723502304,12.585253456221198,0
CÓRDOBA,10,2019,18.00184331797235,52.785714285714526,61.28801843317972,13.170506912442397,0
CÓRDOBA,11,2018,21.4527380952381,147.05714285714203,64.71190476190476,15.023809523809524,0
CÓRDOBA,11,2019,22.942261904761892,111.19999999999906,60.647619047619045,13.708333333333334,0
CÓRDOBA,12,2018,23.316935483870935,93.44285714285533,61.99193548387097,13.434331797235023,0
CÓRDOBA,12,2019,23.846889400921636,154.52857142857184,55.91129032258065,13.144009216589861,0
ENTRE RÍOS,1,2018,25.581182795698933,65.33333333333333,61.43010752688172,11.911290322580646,0
